Year,Temperature
1991,9.37
1992,10.43
1993,9.26
1994,10.33
1995,10.19
1996,8.23
1997,9.87
1998,10.16
1999,10.79
2000,10.59
2001,10.26
2002,10.66
2003,10.49
2004,10.46
2005,10.56
2006,11.04
2007,11.1
2008,10.47
2009,10.35
2010,8.76
2011,10.54
2012,10.04
2013,9.61
2014,11.6
2015,10.69
2016,10.74
2017,10.88
2018,10.98
2019,11.1
2020,11.43
