Year,Temperature
1991,2.43
1992,2.52
1993,1.47
1994,1.61
1995,2.87
1996,1.92
1997,1.92
1998,1.45
1999,2.61
2000,3.98
2001,2.13
2002,2.05
2003,2.67
2004,2.52
2005,3.44
2006,2.73
2007,3.33
2008,3.66
2010,1.23
2011,3.57
2012,2.03
2013,3.72
2014,4.03
2015,4.41
2016,3.63
2017,3.1
2018,3.48
2019,3.11
2020,4.9
