Year,Temperature
1991,9.53
1992,10.64
1993,9.58
1994,11.02
1995,10.21
1996,8.3
1997,10.08
1998,10.6
1999,10.84
2000,11.37
2001,10.4
2002,10.81
2003,10.56
2004,10.14
2005,10.17
2006,10.71
2007,11.08
2008,10.71
2009,10.22
2010,8.9
2011,10.92
2012,10.43
2013,9.88
2014,11.59
2015,11.29
2016,10.9
2017,11.08
2018,11.66
2019,11.59
2020,11.53
