Year,Temperature
1991,6.82
1992,7.39
1993,6.54
1994,6.58
1995,6.39
1996,5.72
1997,7.3
1998,6.1
1999,7.21
2000,7.73
2001,6.74
2002,7.2
2003,6.89
2004,6.86
2005,7.17
2006,7.79
2007,7.44
2008,7.82
2009,6.94
2010,5.15
2011,7.89
2012,6.64
2013,7.32
2014,8.16
2015,8.05
2016,7.54
2017,7.45
2018,8.12
2019,7.81
2020,9.06
